model,scenario,region,variable,unit,subannual,2010,2015,2020,2025,2030,2035,2040,2045,2050
REMES:EU 1.0,Reference,     Austria,Product Price Index|pOIL        ,index,Year,        1.00,        1.00,        1.00,        0.99,        0.97,        0.96,        0.94,        0.92,        0.91
REMES:EU 1.0,Reference,     Austria,Product Price Index|pGSL        ,index,Year,        1.00,        0.99,        0.98,        1.03,        1.05,        1.07,        1.09,        1.11,        1.13
REMES:EU 1.0,Reference,     Austria,Product Price Index|pDSL        ,index,Year,        1.00,        0.99,        0.99,        1.12,        1.15,        1.18,        1.20,        1.21,        1.22
REMES:EU 1.0,Reference,     Austria,Product Price Index|pHDI        ,index,Year,        1.00,        0.99,        0.98,        0.97,        0.94,        0.94,        0.94,        0.92,        0.89
REMES:EU 1.0,Reference,     Austria,Product Price Index|pNG         ,index,Year,        1.00,        0.99,        0.98,        1.02,        1.01,        1.01,        1.01,        1.01,        1.01
REMES:EU 1.0,Reference,     Austria,Product Price Index|pCOA        ,index,Year,        1.00,        0.99,        0.99,        1.09,        1.10,        1.08,        1.03,        0.98,        0.95
REMES:EU 1.0,Reference,     Austria,Product Price Index|pBIO        ,index,Year,        1.00,        0.99,        0.98,        1.01,        1.02,        1.05,        1.10,        1.15,        1.22
REMES:EU 1.0,Reference,     Austria,Product Price Index|pFUL        ,index,Year,        1.00,        0.99,        0.98,        0.98,        0.99,        0.97,        0.93,        0.79,        0.57
REMES:EU 1.0,Reference,     Austria,Product Price Index|pH2         ,index,Year,        1.00,        1.00,        0.99,        0.98,        0.97,        0.96,        0.95,        0.94,        0.94
REMES:EU 1.0,Reference,     Austria,Product Price Index|pAGRI       ,index,Year,        1.00,        1.00,        0.98,        0.95,        0.93,        0.92,        0.91,        0.90,        0.89
REMES:EU 1.0,Reference,     Austria,Product Price Index|pINDU       ,index,Year,        1.00,        1.00,        1.00,        0.99,        1.00,        1.01,        1.02,        1.03,        1.03
REMES:EU 1.0,Reference,     Austria,Product Price Index|pALUM       ,index,Year,        1.00,        1.00,        0.99,        1.02,        1.03,        1.03,        1.04,        1.04,        1.05
REMES:EU 1.0,Reference,     Austria,Product Price Index|pSERV       ,index,Year,        1.00,        1.00,        1.01,        1.01,        1.01,        1.00,        1.00,        0.99,        0.99
REMES:EU 1.0,Reference,     Austria,Product Price Index|pTRAN       ,index,Year,        1.00,        1.00,        1.00,        0.99,        1.01,        1.03,        1.05,        1.08,        1.10
